# synthetic metrics
1700000000,cache02,cpu,39
1700000001,web02,cpu,22
1700000002,web03,cpu,97
1700000003,worker01,cpu,28
1700000004,web01,disk,47
1700000005,worker01,cpu,6
1700000006,cache02,disk,13
1700000007,web02,disk,68
1700000008,web01,disk,7
1700000009,worker01,mem,90
1700000010,cache02,disk,97
1700000011,db01,cpu,60
1700000012,worker02,disk,87
1700000013,web02,cpu,34
1700000014,db02,cpu,33
1700000015,worker03,cpu,32
1700000016,cache02,cpu,75
1700000017,cache01,disk,50
1700000018,cache02,mem,53
1700000019,web02,mem,96
1700000020,web03,cpu,19
1700000021,worker01,mem,50
1700000022,worker02,cpu,21
1700000023,web02,mem,48
1700000024,cache02,cpu,3
1700000025,worker01,cpu,26
1700000026,worker02,cpu,41
1700000027,cache01,disk,16
1700000028,db02,cpu,47
1700000029,web02,mem,18
1700000030,db02,disk,33
1700000031,db01,mem,56
1700000032,db02,mem,23
1700000033,worker01,disk,74
1700000034,db02,mem,45
1700000035,worker01,cpu,4
1700000036,web03,disk,83
1700000037,cache01,disk,54
1700000038,web01,mem,41
1700000039,db01,mem,48
1700000040,web01,mem,15
1700000041,worker01,disk,66
1700000042,cache02,mem,57
1700000043,cache01,cpu,12
1700000044,web03,cpu,11
1700000045,db01,cpu,86
1700000046,web03,cpu,5
1700000047,worker03,disk,40
1700000048,cache02,mem,15
1700000049,db01,disk,34
1700000050,worker02,mem,37
1700000051,worker03,cpu,32
1700000052,cache02,cpu,35
1700000053,cache01,mem,58
1700000054,web01,mem,33
1700000055,db01,disk,80
1700000056,db02,cpu,91
1700000057,cache01,cpu,34
1700000058,web01,disk,5
1700000059,cache01,cpu,92
1700000060,worker02,disk,79
1700000061,worker03,cpu,86
1700000062,worker02,cpu,33
1700000063,worker01,disk,4
1700000064,worker02,cpu,27
1700000065,cache01,mem,34
1700000066,worker02,disk,33
1700000067,worker01,disk,68
1700000068,web03,disk,19
1700000069,db01,mem,94
1700000070,web03,disk,77
1700000071,db01,mem,80
1700000072,web01,mem,99
1700000073,web02,disk,10
1700000074,cache02,cpu,81
1700000075,worker01,cpu,20
1700000076,web03,mem,75
1700000077,db01,mem,6
1700000078,web03,disk,29
1700000079,worker01,cpu,60
1700000080,db02,disk,87
1700000081,web02,disk,74
1700000082,worker02,disk,29
1700000083,web02,disk,88
1700000084,web03,cpu,27
1700000085,worker03,disk,22
1700000086,web03,disk,93
1700000087,db01,cpu,48
1700000088,web01,mem,39
1700000089,cache01,mem,10
1700000090,worker02,disk,33
1700000091,web02,mem,16
1700000092,web01,cpu,3
1700000093,web02,disk,50
1700000094,cache02,disk,37
1700000095,db01,mem,96
1700000096,cache02,disk,27
1700000097,db01,cpu,30
1700000098,db02,disk,65
1700000099,worker01,cpu,88
1700000100,cache02,cpu,67
1700000101,db01,cpu,62
1700000102,cache02,disk,81
1700000103,web02,disk,20
1700000104,web03,mem,43
1700000105,cache01,disk,62
1700000106,worker02,mem,1
1700000107,db01,mem,88
1700000108,worker02,mem,7
1700000109,db01,cpu,22
1700000110,web01,disk,97
1700000111,cache01,cpu,60
1700000112,web03,cpu,47
1700000113,db01,cpu,34
1700000114,web01,mem,41
1700000115,worker03,mem,20
1700000116,cache02,cpu,7
1700000117,db01,cpu,74
1700000118,worker02,disk,41
1700000119,worker03,mem,56
1700000120,web01,disk,91
1700000121,web02,cpu,98
1700000122,cache02,mem,41
1700000123,web02,mem,8
1700000124,worker02,cpu,71
1700000125,worker01,cpu,6
1700000126,web01,mem,93
1700000127,worker01,disk,84
1700000128,web03,mem,63
1700000129,web02,mem,54
1700000130,web01,disk,17
1700000131,worker03,mem,60
